job_title,job_role,tech_stack
Android Engineer (AI assistant App),안드로이드,['Android']
DevOps,데브옵스,"['Ubuntu', 'centOS', 'GitLab', 'JIRA', 'Jenkins', 'AWS IAM', 'AWS Control Tower', 'AWS Config', 'AWS CloudTrail', 'AWS GuardDuty', 'AWS CloudFormation', 'AWS CloudWatch']"
글로벌플랫폼 EPI/ESI 모듈 리더,"서버/백엔드, 프론트엔드, 웹 풀스택","['Python', 'JavaScript']"
글로벌플랫폼 개발자,"서버/백엔드, 프론트엔드, 웹 풀스택","['Python', 'JavaScript']"
[TmaxSNP] 연구원,"서버/백엔드, 프론트엔드","['Java', 'Spring', 'C', 'C++', 'Linux', 'SQL']"
React Native 모바일 앱 개발자,"프론트엔드, 안드로이드, iOS","['JavaScript', 'React Native', 'Node.js', 'Android', 'iOS']"
자바 백엔드 엔지니어,서버/백엔드,"['Java', 'Apache HBase', 'Scala']"
node.js 백엔드 엔지니어,서버/백엔드,"['Node.js', 'TypeScript']"
프로그래머,"시스템 소프트웨어, 임베디드 소프트웨어","['Linux', 'C', 'C++']"
[자율출근] 출퇴근 FREE 백엔드(API),"서버/백엔드, 프론트엔드","['Java', 'MySQL', 'Node.js', 'PHP']"
프론트엔드 개발자,프론트엔드,"['CSS', 'HTML', 'JavaScript', 'TypeScript', 'Git', 'GitHub']"
블록체인 백엔드 개발자,"서버/백엔드, 블록체인","['Java', 'Spring']"
종근당바이오 오송공장 전산실 시스템관리자,"시스템/네트워크, 시스템 소프트웨어, 응용 프로그램",['SAP']
"ERP 백엔드 엔지니어 (Go, NodeJS)","서버/백엔드, 시스템 소프트웨어","['Go', 'Database', 'Node.js']"
[Blockchain] Frontend Engineer,"프론트엔드, 블록체인","['ReactJS', 'React Native', 'CSS', 'PHP', 'Git', 'Linux']"
Python 백엔드 개발자,서버/백엔드,"['Python', 'FastAPI', 'Flask', 'MySQL', 'MariaDB']"
앱 개발자,"프론트엔드, 안드로이드, iOS",['flutter']
이머커스 골프테크 백엔드&프론트엔드 개발,"서버/백엔드, 프론트엔드, 웹 풀스택","['C#', '.NET']"
Platform Programmer,"안드로이드, iOS, 모바일 게임","['Android', 'iOS', 'Java', 'C#', 'Python', 'Objective-C', 'Unity', 'Gradle', 'Appium']"
[야놀자] Senior Data Engineer - Infra,데이터 엔지니어링,"['SQL', 'Python', 'Java', 'Apache Hadoop', 'Apache Spark', 'Apache Kafka', 'Azure', 'Google Cloud Platform']"
Software Engineer - CTC (Cluster Tool Controller) Developer,"시스템/네트워크, 응용 프로그램","['C#', 'C++']"
React Native 엔지니어,"프론트엔드, 안드로이드, 크로스 플랫폼","['Android', 'Firebase', 'Java', 'JavaScript', 'Kotlin', 'React Native', 'TypeScript']"
"영상처리, 컴퓨터비전/딥러닝 (전문연구요원 가능)",머신러닝,"['Python', 'C++', 'Tensorflow', 'Keras', 'PyTorch', 'Deep Learning', 'Machine Learning']"
[음악플랫폼FLO] Backend 개발자,서버/백엔드,"['Java', 'Go', 'SQL', 'NoSQL', 'Kotlin', 'Python', 'Rust', 'Linux', 'MongoDB', 'Redis', 'Apache ZooKeeper']"
AI Engineer,인공지능(AI),"['Python', 'PyTorch']"
