job_title,job_role,tech_stack
자바 백엔드 엔지니어,서버/백엔드,"['Java', 'MySQL', 'Spring Boot']"
백엔드 개발자,서버/백엔드,"['Django', 'Docker', 'Git', 'Java', 'MySQL', 'Python', 'Spring']"
VISION AI 연구/개발 분야 (팀장),"머신러닝, 인공지능(AI)","['Python', 'PyTorch', 'GitHub']"
VISION AI 연구/개발 분야 (팀원),"머신러닝, 인공지능(AI), 데이터 엔지니어링","['Python', 'PyTorch', 'GitHub']"
백엔드 개발자(팀장 / 리더),"서버/백엔드, 머신러닝, 데이터 엔지니어링","['Python', 'GitHub', 'JavaScript', 'AWS ECS']"
FE 개발자,프론트엔드,"['ReactJS', 'TypeScript']"
BE 개발자,서버/백엔드,"['PostgreSQL', 'TypeScript', 'GraphQL', 'AWS EC2', 'Redis']"
AWS 운영 개발자,"서버/백엔드, 프론트엔드, 시스템/네트워크","['AWS CloudFormation', 'Kubernetes', 'Docker', 'Azure Network Watcher', 'JIRA', 'Slack API']"
웹 프론트엔드 서비스 개발자,"프론트엔드, 웹 풀스택, 블록체인","['GitHub', 'JavaScript', 'TypeScript', 'HTML', 'ReactJS', 'CSS']"
백엔드 엔지니어,서버/백엔드,"['Java', 'Spring', 'Python']"
백엔드 개발자,서버/백엔드,"['Kotlin', 'Spring Boot', 'Spring Data', 'Spring Batch', 'Kubernetes', 'Go', 'Python', 'Apache HBase', 'MongoDB', 'Apache Kafka', 'RabbitMQ', 'Terraform']"
프론트엔드 개발자,프론트엔드,"['JavaScript', 'TypeScript', 'ReactJS', 'Next.js']"
[이루다] 프론트엔드 엔지니어 (Frontend Engineer),"프론트엔드, 안드로이드, iOS","['JavaScript', 'ReactJS', 'TypeScript']"
[이루다] 모바일 앱 엔지니어 (React Native),"프론트엔드, 안드로이드, iOS","['Android', 'iOS', 'JavaScript', 'TypeScript', 'React Native']"
[이루다] 백엔드 엔지니어 (Backend Engineer),"서버/백엔드, 머신러닝, 인공지능(AI)","['Apache Kafka', 'Python', 'Spring', 'Java', 'Docker', 'Tensorflow', 'PyTorch', 'Keras']"
Medical AI Research Engineer(Junior),"머신러닝, 인공지능(AI), 데이터 엔지니어링","['C', 'Java', 'Python', 'PyTorch', 'Tensorflow', 'SciPy', 'Pandas', 'Numpy']"
[NHN FashionGo korea] Front-End 개발,프론트엔드,"['Angular', 'Vue.js', 'ReactJS', 'JavaScript', 'HTML', 'CSS']"
[NHN FashionGo korea] 패션고 서비스 백엔드 개발,서버/백엔드,"['JavaScript', 'Java', 'Spring', 'Linux']"
Medical AI Research Engineer(Senior),"머신러닝, 인공지능(AI), 데이터 엔지니어링","['Python', 'PyTorch', 'Tensorflow', 'Caffe(Convolutional Architecture for Fast Feature Embedding)']"
[NHN] Well-Aging서비스 프론트엔드 개발,프론트엔드,"['Vue.js', 'ReactJS', 'JavaScript', 'HTML', 'CSS', 'ECMAScript(ES)', 'AngularJS']"
프론트엔드 개발자,프론트엔드,"['HTML5', 'CSS', 'JavaScript', 'ES6', 'TypeScript']"
[제품개발그룹] 시니어 백엔드 개발자,"서버/백엔드, 웹 풀스택","['Java', 'Spring Boot', 'Spring', 'Node.js', 'PHP', 'MySQL', 'Git', 'Kotlin', 'AWS EC2']"
Technical Lead,"프론트엔드, 응용 프로그램, VR/AR/3D",['Unity']
Backend Engineer (Kotlin),"서버/백엔드, 블록체인",['Kotlin']
크로스보더 이커머스 플랫폼 개발(backend 개발),"서버/백엔드, 웹 풀스택","['Node.js', 'CSS', 'ReactJS', 'Kotlin']"
크로스보더 이커머스 플랫폼 개발(frontend 개발),"프론트엔드, 웹 풀스택","['Vue.js', 'Vuex', 'Node.js', 'CSS', 'ReactJS', 'Kotlin']"
Frontend Engineer (In Vehicle Infotainment App Store),프론트엔드,"['React Native', 'REST API']"
Frontend Engineer (Transportation Management System),프론트엔드,"['React Native', 'REST API']"
Backend Engineer (TAP! Service Engineering),서버/백엔드,"['Java', 'Spring', 'gRPC']"
Backend Engineer (Place/Address Data Platform),서버/백엔드,"['Java', 'Spring Boot', 'JPA(Java Persistent API)']"
Backend Engineer (In Vehicle Infotainment App Store),서버/백엔드,"['Java', 'Spring Boot', 'REST API']"
Backend Engineer (Connected Service),서버/백엔드,"['Java', 'Kotlin', 'Spring Boot']"
Senior Backend Engineer (Fleet Management System),서버/백엔드,"['Java', 'Kotlin', 'Spring Boot']"
Backend Engineer (Transportation Management System),서버/백엔드,"['Java', 'Spring Boot', 'SQL']"
Backend Engineer (Autonomous Transportation matriX),서버/백엔드,"['Java', 'Python', 'Go']"
"백엔드 개발자 - 자사솔루션 개발,API 개발/연동,데이터베이스 설계/구축",서버/백엔드,"['Python', 'Java', 'C#']"
